id;date;type;level;dispositif_name;state;groupe;astreinte_name;availiblity;contact;status;message
1;2021-06-30T08:49:54;Directives application Home Loan Account;15601;Computer Practical Fresh Pants;Down;Producer;Implementation Electronics Officer;2021-06-30T03:00:05;Home Loan Account;web-readiness;Namibia
2;2021-06-30T08:13:27;Gorgeous Frozen Pants;23277;Licensed Savings Account;Up;HDD;Table Small Frozen Sausages Planner;2021-06-29T22:25:10;access Intelligent;Monitored Bahamian Dollar Investment Account;Games Regional Digitized
3;2021-06-30T01:55:13;hardware Costa Rica Mayotte;18485;Facilitator;Down;National Awesome sky blue;Tactics;2021-06-29T21:33:07;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable
4;2021-06-30T13:51:15;Industrial;42340;reinvent 24 hour Jewelery;Up;1080p Checking Account Identity;Frozen IB;2021-06-30T02:51:42;archive Fantastic Plastic Chicken;payment;withdrawal COM
5;2021-06-30T06:29:15;Frozen bus;76078;Idaho compress Avon;Up;Intelligent Outdoors;Harbor Montana;2021-06-30T01:07:42;Concrete Investment Account Saint Lucia;User-centric;Money Market Account
6;2021-06-30T01:08:46;JSON;62435;modular Refined Squares;Down;EXE projection Fresh;support Gorgeous;2021-06-30T12:21:01;synergies copying;ability Hat Iraq;magenta Concrete
7;2021-06-30T09:43:05;Directives;32320;Mauritania;Up;Buckinghamshire capability zero tolerance;mission-critical;2021-06-29T18:22:56;paradigms Home;Investor Public-key;Lebanon
8;2021-06-30T07:04:26;Dominican Republic Credit Card Account Handmade;36965;Re-contextualized;Down;bypassing optical;installation;2021-06-30T13:20:39;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages
9;2021-06-30T01:14:18;synthesize Creative;13752;bricks-and-clicks Concrete Global;Up;Macao Equatorial Guinea Vision-oriented;Agent;2021-06-30T04:25:18;THX pink even-keeled;bus Internal AI;THX bypassing Marketing
10;2021-06-29T22:58:22;New Zealand Dollar Alabama transform;94013;Supervisor clear-thinking;Down;Ports Manager Fish;Networked;2021-06-30T10:00:40;navigate;program alarm;Nevada
