id;date;type;criticite;sla;description;adresse_ip;composant;responsable;status;equipement_name;message
1;2021-07-06T06:10:30;Directives application Home Loan Account;Dam;9997;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;UP;web-readiness;Namibia
2;2021-07-06T05:34:03;Gorgeous Frozen Pants;Common;78517;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;DOWN;Investment Account;Games Regional Digitized
3;2021-07-05T23:15:49;hardware Costa Rica Mayotte;Industrial;84228;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;DOWN;Plastic;Car Industrial deliverables
4;2021-07-06T05:41:13;24 hour;overriding;70685;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fantastic Plastic Chicken;payment;UP;embrace Developer;synthesize Idaho compress
5;2021-07-06T03:18:47;Poland;Small partnerships;20171;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;DOWN;Salad Web virtual;Refined Squares
6;2021-07-06T09:55:17;e-business;Ghana back-end National;31800;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;encompassing;DOWN;sky blue;Kenyan Shilling robust
7;2021-07-05T15:50:29;Functionality;Moroccan Dirham;71227;Plastic;Computers Personal Loan Account Berkshire;Home;Investor Public-key;DOWN;Designer Persistent;Handmade 24/7 Re-contextualized
8;2021-07-05T19:53:20;Point Orchestrator;Solomon Islands Licensed;83530;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;DOWN;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
9;2021-07-05T18:06:29;Enhanced deposit parsing;Borders content-based;99625;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;DOWN;Dynamic Home Loan Account Tools;Branding
10;2021-07-05T15:47:47;clear-thinking;Latvia;69189;invoice Devolved;Computers Bedfordshire Fish;payment calculating;local area network Benin;UP;Wisconsin;target Human withdrawal
